0.0	B	0	0
0.5	B	0	0
1.0	B	0	0
1.5	B	0	0
2.0	B	0	0
2.5	B	0	0
3.0	B	0	0
3.5	B	0	0
4.0	B	0	0
4.5	B	0	0
5.0	B	0	0
5.5	B	0	0
6.0	B	0	0
6.5	B	0	0
7.0	B	0	0
7.5	B	0	0
8.0	B	0	0
8.5	B	0	0
9.0	B	0	0
9.5	B	0	0
10.0	B	0	0
10.5	B	0	0
11.0	B	0	0
11.5	B	0	0
12.0	B	0	0
12.5	B	0	0
13.0	B	0	0
13.5	B	0	0
14.0	B	0	0
14.5	B	0	0
15.0	B	0	0
15.5	B	0	0
16.0	B	0	0
16.5	B	0	0
17.0	B	0	0
17.5	B	0	0
18.0	B	0	0
18.5	B	0	0
19.0	B	0	0
19.5	B	0	0
20.0	B	0	0
20.5	B	0	0
21.0	B	0	0
21.5	B	0	0
22.0	B	0	0
22.5	B	0	0
23.0	B	0	0
23.5	B	0	0
24.0	B	0	0
24.5	B	0	0
25.0	B	0	0
25.5	B	0	0
26.0	B	0	0
26.5	B	0	0
27.0	B	0	0
27.5	B	0	0
28.0	B	0	0
28.5	B	0	0
29.0	B	0	0
29.5	B	0	0
30.0	B	0	0
30.5	B	0	0
31.0	B	0	0
31.5	B	0	0
32.0	B	0	0
32.5	B	0	0
33.0	B	0	0
33.5	B	0	0
34.0	B	0	0
34.5	B	0	0
35.0	B	0	0
35.5	B	0	0
36.0	B	0	0
36.5	B	0	0
37.0	B	0	0
37.5	B	0	0
38.0	B	0	0
38.5	B	0	0
39.0	B	0	0
39.5	B	0	0
40.0	B	0	0
40.5	B	0	0
41.0	B	0	0
41.5	B	0	0
42.0	B	0	0
42.5	B	0	0
0.0	N	2	2.875
2.875	N	4	2.875
5.75	N	3	2.875
6.375	N	7	0.0
7.0	N	7	0.0
8.625	N	2	2.75
9.25	N	7	0.0
9.875	N	7	0.0
11.375	N	3	2.875
12.125	N	7	0.0
12.625	N	7	0.0
14.25	N	4	2.875
14.75	N	7	0.0
15.25	N	7	0.0
16.0	N	7	0.0
16.5	N	7	0.0
17.125	N	2	2.75
17.625	N	7	0.0
18.25	N	7	0.0
19.0	N	7	0.0
19.875	N	3	5.875
20.375	N	7	0.0
20.875	N	7	0.0
21.375	N	7	0.0
21.875	N	7	0.0
22.375	N	7	0.0
23.0	N	7	0.0
23.375	N	7	0.0
23.75	N	7	0.0
24.125	N	7	0.0
24.5	N	7	0.0
24.875	N	7	0.0
25.25	N	7	0.0
25.75	N	2	0.75
26.5	N	4	0.875
27.0	N	7	0.0
27.375	N	3	1.0
27.875	N	7	0.0
28.375	N	2	1.0
28.75	N	7	0.0
29.375	N	3	0.75
29.75	N	7	0.0
30.125	N	4	0.75
30.5	N	7	0.0
30.875	N	3	1.0
31.375	N	7	0.0
31.875	N	2	1.0
32.25	N	7	0.0
32.875	N	4	0.75
33.25	N	7	0.0
33.625	N	3	1.75
34.0	N	7	0.0
34.375	N	7	0.0
34.75	N	7	0.0
35.375	N	2	1.0
35.75	N	7	0.0
36.375	N	4	0.75
36.75	N	7	0.0
37.125	N	2	1.75
37.5	N	7	0.0
37.875	N	7	0.0
38.25	N	7	0.0
38.875	N	3	1.0
39.25	N	7	0.0
39.875	N	4	0.625
40.125	N	7	0.0
40.5	N	3	3.25
41.0	N	7	0.0
41.375	N	7	0.0
41.75	N	7	0.0
42.125	N	7	0.0
42.75	N	7	0.0
43.375	N	7	0.0
